<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.03	08:30:00	3430.85	3430.85	3421.68	3429.98	872	0	180
2025.01.03	08:40:00	3430.04	3435.70	3427.59	3430.77	657	0	180
2025.01.03	08:50:00	3430.75	3433.83	3426.16	3429.07	456	0	180
2025.01.03	09:00:00	3429.07	3435.79	3428.06	3434.99	383	0	180
2025.01.03	09:10:00	3434.99	3445.68	3434.99	3441.87	859	0	180
2025.01.03	09:20:00	3441.87	3445.05	3440.54	3443.41	658	0	180
2025.01.03	09:30:00	3443.41	3448.76	3439.38	3447.91	682	0	180
2025.01.03	09:40:00	3447.91	3449.98	3442.36	3443.54	636	0	180
2025.01.03	09:50:00	3443.54	3446.79	3442.83	3443.02	449	0	180
2025.01.03	10:00:00	3443.02	3444.09	3438.16	3440.18	444	0	180
